survenir;arise;arose;arisen
lever;awake;awoke;awoken
être;be;was/were;been
supporter;bear;bore;born
battre;beat;beat;beaten
devenir;become;became;become
commencer;begin;began;begun
plier;bend;bent;bent
parier;bet;bet;bet
lier;bind;bound;bound
mordre;bite;bit;bitten
saigner;bleed;bled;bled
souffler;blow;blew;blown
casser;break;broke;broken
reproduire;breed;bred;bred
apporter;bring;brought;brought
diffuser;broadcast;broadcast;broadcast
construire;build;built;built
bruler;burn;burnt/burned;burnt/burned
éclater;burst;burst;burst
acheter;buy;bought;bought
attraper;catch;caught;caught
choisir;choose;chose;chosen
s'accrocher;cling;clung;clung
venir;come;came;come
couter;cost;cost;cost
ramper/se faufiler;creep;crept;crept
couper;cut;cut;cut
traiter/s'occuper;deal;dealt;dealt
creuser;dig;dug;dug
faire;do;did;done
dessiner;draw;drew;drawn
rêver;dream;dreamt/dreamed;dreamt/dreamed
boire;drink;drank;drunk
conduire;drive;drove;driven
manger;eat;ate;eaten
tomber;fall;fell;fallen
nourrir;feed;fed;fed
sentir/ressentir;feel;felt;felt
combattre;fight;fought;fought
trouver;find;found;found
voler/planer;fly;flew;flown
interdire;forbid;forbade;forbidden
oublier;forget;forgot;forgotten
pardonner;forgive;forgave;forgiven
geler;freeze;froze;frozen
obtenir;get;got;got
donner;give;gave;given
aller;go;went;gone
moudre;grind;ground;ground
grandir;grow;grew;grown
accrocher/suspendre;hang;hung;hung
avoir;have;had;had
entendre;hear;heard;heard
cacher;hide;hid;hidden
frapper;hit;hit;hit
tenir;hold;held;held
blesser;hurt;hurt;hurt
garder;keep;kept;kept
s'agenouiller;kneel;knelt;knelt
savoir;know;knew;known
poser;lay;laid;laid
diriger;lead;led;led
s'appuyer;lean;leant/leaned;leant/leaned
apprendre;learn;learnt/learned;learnt/learned
quitter;leave;left;left
prêter;lent;lent;lent
s'allonger;lie;lay;lain
mentir;lie;lied;lied
éclairer;light;lit/lighted;lit/lighted
perdre;lose;lost;lost
faire/fabriquer;make;made;made
vouloir dire;mean;meant;meant
rencontrer;meet;met;met
tondre;mow;mowed;mown/mowed
doubler/dépasser;overtake;overtook;overtaken
payer;pay;paid;paid
mettre;put;put;put
lire;read;read;read
chevaucher;ride;rode;ridden
sonner;ring;rang;rung
élever;rise;rose;risen
courir;run;ran;run
scier;saw;sawed;sawn/sawed
dire;say;said;said
voir;see;saw;seen
vendre;sell;sold;sold
envoyer;send;sent;sent
definir/mettre;set;set;set
coudre;sew;sewed;sewn/sewed
secouer;shake;shook;shaken
verser;shed;shed;shed
briller;shine;shone;shone
tirer;shoot;shot;shot
montrer;show;showed;shown
rétrécir;shrink;shrank;shrunk
fermer;shut;shut;shut
chanter;sing;sang;sung
couler;sink;sank;sunk
s'asseoir;sit;sat;sat
dormir;sleep;slept;slept
glisser;slide;slid;slid
sentir;smell;smelt;smelt
semer;sow;sowed;sown/sowed
parler;speak;spoke;spoken
épeler;spell;spelt/spelled;spelt/spelled
dépenser;spend;spent;spent
renverser;spill;spilt/spilled;spilt/spilled
cracher;spit;spat;spat
répandre;spread;spread;spread
se tenir;stand;stood;stood
voler;steal;stole;stolen
coller/s'en tenir à;stick;stuck;stuck
piquer;sting;stung;stung
puer;stink;stank;stunk
frapper;strike;struck;struck
jurer;swear;swore;sworn
balayer;sweep;swept;swept
enfler/gonfler;swell;swelled;swollen/swelled
nager;swim;swam;swum
balancer;swing;swung;swung
prendre;take;took;taken
apprendre;teach;taught;taught
déchirer;tear;tore;torn
dire;tell;told;told
penser;think;thought;thought
lancer;throw;threw;thrown
comprendre;understand;understood;understood
s'éveiller;wake;woke;woken
porter;wear;wore;worn
pleurer;weep;wept;wept
gagner;win;won;won
remonter;wind;wound;wound
écrire;write;wrote;written
